rep,id,r,g,b,X,Y,Z
0,93,85,207,24,0.09758073260224077,0.22971366159226864,0.01545997900182106
0,94,108,86,78,0.051044638409464625,0.04741014635504211,0.031222842983225776
0,95,250,255,152,0.3786479161818309,0.4543231866786419,0.1250245913712658
0,96,148,41,35,0.08296510005739398,0.045746359065523975,0.005783398544100156
0,97,3,129,243,0.0862165707355992,0.0891895093053072,0.38837608491707054
0,98,6,94,134,0.029208066093685644,0.042178527295007186,0.10039157038253234
0,99,147,246,81,0.18507178515428147,0.3620106810335734,0.04661248109308428
0,100,253,32,234,0.31565127254883085,0.16158345055406523,0.3324141297952684
0,101,108,137,60,0.06632982124809926,0.09754698116931564,0.020489693223150904
0,102,82,16,106,0.030192146644755846,0.015844330443572353,0.05922101772762462
0,103,196,165,188,0.20410459049935475,0.18610921297361355,0.20617821611754938
0,104,169,113,7,0.12568280195762416,0.10221900398917609,0.003509261323875327
0,105,60,216,207,0.1266723815650705,0.24130734301562354,0.2669634917666855
0,106,42,48,16,0.007724044183642564,0.010253360205740353,0.0018183280834663893
0,107,187,153,198,0.18626808465129452,0.16186981854916166,0.2341090920669598
0,108,210,78,125,0.19867930273098752,0.11445712830678993,0.07842986052490897
0,109,68,231,169,0.1309370381277644,0.28845131551142955,0.16917706026654594
0,110,125,98,251,0.11596245024874013,0.0785156859450947,0.411169528254136
0,111,235,199,42,0.29800206231492243,0.29476995206474155,0.016922975019528348
0,112,133,31,144,0.07744182271640893,0.04111200470815041,0.11487716580648356
0,113,20,182,70,0.06283097055888379,0.16631428299852474,0.03149276563941304
0,114,30,17,200,0.04493106987489008,0.023375834364492806,0.2527558426079095
0,115,136,184,30,0.11694359252163494,0.19003942817571945,0.012993079228193432
0,116,229,111,164,0.25231574253722727,0.1571299691713681,0.14563063027792297
0,117,112,198,114,0.11161036251253864,0.20959736674199067,0.0736607641062964
0,118,73,64,37,0.021590243474025297,0.02221165519771008,0.007120950341181912
0,119,223,233,241,0.3051547030764997,0.34238226511358105,0.35480091544070447
0,120,177,62,72,0.12932229155381506,0.07442459965485909,0.024072010332532985
0,121,40,150,158,0.060798699635128725,0.10758491410137543,0.14558066201669723
0,122,50,127,94,0.0376574889576996,0.07300138410264033,0.04884890603008715
0,123,167,214,136,0.18278620638248613,0.270642797983451,0.10301144443602117
0,124,201,2,50,0.17395292814936586,0.08830934690538357,0.010565875017072714
0,125,95,168,228,0.11296018327480238,0.1437654993542407,0.33156162127535166
0,126,102,46,178,0.06269909597275895,0.03613596879151638,0.1893029514911418
0,127,239,135,100,0.2803182812421985,0.19336085461585872,0.04835347621407876
0,128,158,81,221,0.13328417525036088,0.08087515039143904,0.3068896965654561
0,129,8,248,9,0.12820949653308394,0.3632550343260971,0.022604585144670775
0,130,10,27,180,0.0348740991117763,0.01927654330637213,0.19800463042209268
0,131,159,179,100,0.14449748988415245,0.18955624111054553,0.055575481921002805
0,132,241,100,217,0.2871474170483869,0.16535746793849893,0.28079893458287547
0,133,104,205,15,0.1062305757130715,0.22870771675024487,0.0139366327782773
0,134,94,75,89,0.040712087578000405,0.03598964585930897,0.04205067330600641
0,135,200,225,143,0.24327584863516738,0.320384678759453,0.11302804881683318
0,136,165,53,53,0.10852022810867297,0.061577103112727676,0.01270101611039918
0,137,48,156,227,0.09178605918101743,0.12014053465774688,0.3310259962193335
0,138,38,116,35,0.024504794273930028,0.057983914545262104,0.008939352789804463
0,139,175,220,245,0.21873548625348785,0.2755476891961373,0.377707732140351
0,140,221,10,79,0.21988447825356558,0.11167964509651956,0.0280298322934099
0,141,72,163,153,0.07466299884645859,0.13085666634606075,0.13525870131280426
0,142,113,38,207,0.08061974734647569,0.04341891762946768,0.2691533463042764
0,143,231,140,26,0.26070957871215744,0.1914342633644623,0.0068440469955820425
0,144,137,91,163,0.09339428344866921,0.0684798489795895,0.15230825870402287
0,145,32,242,117,0.1267589596971798,0.3296879346643498,0.08316780845142843
0,146,18,85,251,0.07841937037238282,0.05523936876738582,0.4170093229212312
0,147,132,252,45,0.17545583551249333,0.3794829297635858,0.02814470225520541
0,148,233,44,151,0.25458539788698004,0.13240639559091738,0.11975078225135767
0,149,124,130,65,0.07696337530562268,0.09439101375404449,0.02290699873132829
1,0,0,0,0,0.0003010490374156835,0.00030812199843507015,0.0005924160393745132
1,1,255,255,255,0.39093192802665566,0.42848941142859837,0.38981560809516247
1,2,11,115,212,0.06486025751537637,0.0692761409478178,0.28605327885513393
1,3,157,218,2,0.17046589432637377,0.2875095139254899,0.01565198450959386
1,4,242,14,183,0.2825113261358406,0.143726617361665,0.18828856901130211
1,5,101,163,110,0.08069277901224421,0.13662083671643374,0.06695767840790197
1,6,92,34,56,0.030661136716114014,0.01827108079901039,0.01479542490975691
1,7,202,139,237,0.21581758850680247,0.15615833250439112,0.35126277441743087
1,8,164,93,84,0.11545225679417619,0.08240047144031898,0.03599084500193708
1,9,51,244,130,0.13363315666942244,0.3345962509386998,0.10003096840896977
1,10,36,29,67,0.00791697241542385,0.006115919187913818,0.02188810243554918
1,11,178,180,147,0.176704999473561,0.20106859472725486,0.11939276859752226
1,12,220,100,46,0.221994326923736,0.13870445889330735,0.010108924482496142
1,13,75,202,248,0.13487305072285952,0.20402095969464384,0.39777454401170176
1,14,115,76,174,0.07367100838186856,0.05083677082795015,0.1789699231691381
1,15,229,229,120,0.3056695861489413,0.3591510307781542,0.0778930433790315
1,16,139,50,194,0.09929862306613287,0.055152168444187584,0.22922325840006477
1,17,29,155,21,0.04256201328916021,0.11438545628777202,0.008728563839719263
1,18,17,60,154,0.027992749844543318,0.02328142855162822,0.13758547658522055
1,19,134,149,76,0.09658290728822182,0.12578983129969576,0.03207113760541789
1,20,232,66,246,0.26734206962500323,0.14209238764475376,0.3772871995020258
1,21,126,235,32,0.15153716229271963,0.32185398405872373,0.021920609275784205
1,22,71,109,118,0.04164416679993366,0.05734019700968611,0.07560771146151782
1,23,208,196,160,0.23914723835779927,0.25375944613145635,0.14171533590991167
1,24,191,19,27,0.1514672513677716,0.07723519725304347,0.0029959216316854426
1,25,41,186,203,0.0982749157750065,0.1714083406574968,0.2581357703138859
1,26,63,83,12,0.02074862502401479,0.03184484485114512,0.0025572277434666225
1,27,169,250,218,0.23168556871999071,0.36326912798406663,0.29118390412425865
1,28,198,44,96,0.16846221801094302,0.08918920020797604,0.04498124040236138
1,29,81,133,182,0.07234406770663855,0.08949083366176698,0.19970079148053085
1,30,104,4,223,0.0821919070734308,0.04205309846080465,0.3208599687106876
1,31,254,169,55,0.3340720636898323,0.26115973182730223,0.01739811452969663
1,32,144,125,140,0.10543342357105122,0.0995206163045271,0.10760525274038726
1,33,7,212,90,0.0915519361888556,0.24268489334964521,0.052433660133478416
1,34,2,11,40,0.0015532668531719762,0.001144846043794564,0.007650298922161598
1,35,151,162,254,0.1613952052808616,0.15292164687065565,0.41576076043116683
1,36,249,117,69,0.3027322912069193,0.18917644702426611,0.02117808031472573
1,37,112,219,146,0.13475013925000218,0.26240856436828464,0.12283179893973889
1,38,86,90,196,0.0673369562710205,0.05424589575175266,0.23746600472808221
1,39,192,243,19,0.24275246085748117,0.3797394253549347,0.020177482607196554
1,40,173,37,168,0.13492992233243967,0.07092454562872808,0.1612388504702332
1,41,56,141,126,0.05144776358693914,0.09371113466657618,0.08820947548744275
1,42,46,101,189,0.05352194787630336,0.05437582618155661,0.21937975413346553
1,43,183,204,105,0.19569983661041984,0.2573058442979525,0.061586662483971176
1,44,213,28,210,0.21679781991253488,0.11110886648033283,0.2671911418692673
