output_id,base_color_id,description,target_order,level_rank,level_index,offset_steps,offset_L,grey_L,grey_u,grey_v,delta_L,delta_U,delta_V,target_L,target_u,target_v,target_X,target_Y,target_Z,pred_r_float,pred_g_float,pred_b_float,pred_r_int,pred_g_int,pred_b_int,in_gamut,out_of_gamut_channels
54,17,"between GREEN and CYAN, step 5 of 5",17,1,1,-4,-8.0,64.98823199019498,-1.14292547643406,-44.41300317248697,0.0,-44.89335593351362,6.630118031469099,64.98823199019498,-46.03628140994768,-37.78288514101787,0.09329785308980298,0.1283756535686462,0.22110068452055678,92.43600212037563,166.54449328780174,183.41290913522243,92,167,183,True,0
55,18,CYAN handle,18,1,1,-4,-8.0,64.98823199019498,-1.14292547643406,-44.41300317248697,0.0,-45.304008016666785,-2.208105599756771,64.98823199019498,-46.44693349310084,-46.62110877224374,0.09528604716269404,0.1283756535686462,0.242692131443933,89.73975419998169,166.66398167610168,192.14820340275764,90,167,192,True,0
56,19,"between CYAN and BLUE, step 1 of 5",19,1,1,-4,-8.0,64.98823199019498,-1.14292547643406,-44.41300317248697,0.0,-44.57649568487186,-11.02590339150186,64.98823199019498,-45.71942116130592,-55.43890656398882,0.09831942696765833,0.1283756535686462,0.2650158698690468,89.95091266930103,166.59757643938065,200.8553221821785,90,167,201,True,0
57,20,"between CYAN and BLUE, step 2 of 5",20,1,1,-4,-8.0,64.98823199019498,-1.14292547643406,-44.41300317248697,0.0,-42.69474010281299,-19.671239013587964,64.98823199019498,-43.83766557924705,-64.08424218607493,0.10244697939823152,0.1283756535686462,0.28770186547054216,93.41771364212036,166.30685403943062,209.29462373256683,93,166,209,True,0
58,21,"between CYAN and BLUE, step 3 of 5",21,1,1,-4,-8.0,64.98823199019498,-1.14292547643406,-44.41300317248697,0.0,-39.63477568334308,-27.973012910833727,64.98823199019498,-40.77770115977714,-72.3860160833207,0.10771347345178384,0.1283756535686462,0.31024105404183516,100.22226311266422,165.72331935167313,217.25651130080223,100,166,217,True,0
59,22,"between CYAN and BLUE, step 4 of 5",22,1,1,-4,-8.0,64.98823199019498,-1.14292547643406,-44.41300317248697,0.0,-35.37204005678323,-35.72620045328024,64.98823199019498,-36.514965533217286,-80.13920362576721,0.11413954310229885,0.1283756535686462,0.3319211332360789,110.04554159939289,164.7440131008625,224.52862948179245,110,165,225,True,0
60,23,"between CYAN and BLUE, step 5 of 5",23,1,1,-4,-8.0,64.98823199019498,-1.14292547643406,-44.41300317248697,0.0,-29.897177811346825,-42.67664759608496,64.98823199019498,-31.040103287780884,-87.08965076857193,0.12168755736182546,0.1283756535686462,0.3517588329474648,122.06051493063569,163.23687717318535,230.86560264229774,122,163,231,True,0
61,24,BLUE handle,24,1,1,-4,-8.0,64.98823199019498,-1.14292547643406,-44.41300317248697,0.0,-23.245838369923167,-48.511244044914314,64.98823199019498,-24.388763846357225,-92.92424721740127,0.1302088770128973,0.1283756535686462,0.3684603162825459,134.9795632995665,161.06520250439644,235.97873747348785,135,161,236,True,0
62,25,"between BLUE and MAGENTA, step 1 of 5",25,1,1,-4,-8.0,64.98823199019498,-1.14292547643406,-44.41300317248697,0.0,-15.545390198816976,-52.86852875587569,64.98823199019498,-16.688315675251037,-97.28153192836265,0.13937903064503562,0.1283756535686462,0.38048613096645184,147.37748388200998,158.14523208886385,239.5571194589138,147,158,240,True,0
63,26,"between BLUE and MAGENTA, step 2 of 5",26,1,1,-4,-8.0,64.98823199019498,-1.14292547643406,-44.41300317248697,0.0,-7.065500398229713,-55.39326657530841,64.98823199019498,-8.208425874663773,-99.80626974779537,0.14865792525728755,0.1283756535686462,0.3863316447467992,158.1984729319811,154.52993888407946,241.32786244153976,158,155,241,True,0
64,27,"between BLUE and MAGENTA, step 3 of 5",27,1,1,-4,-8.0,64.98823199019498,-1.14292547643406,-44.41300317248697,0.0,1.770882353784213,-55.84178853554697,64.98823199019498,0.6279568773501532,-100.25479170803393,0.15734605209020822,0.1283756535686462,0.38503919342192516,167.06386841833591,150.47075919806957,241.13396644592285,167,150,241,True,0
65,28,"between BLUE and MAGENTA, step 4 of 5",28,1,1,-4,-8.0,64.98823199019498,-1.14292547643406,-44.41300317248697,0.0,10.461969785025188,-54.184130142156,64.98823199019498,9.319044308591128,-98.59713331464297,0.16476771806586893,0.1283756535686462,0.37666235629676914,174.1057037562132,146.3848004490137,238.98525774478912,174,146,239,True,0
66,29,"between BLUE and MAGENTA, step 5 of 5",29,1,1,-4,-8.0,64.98823199019498,-1.14292547643406,-44.41300317248697,0.0,18.557434321905244,-50.613936027213754,64.98823199019498,17.414508845471186,-95.02693919970072,0.1704743308546603,0.1283756535686462,0.36226335766198225,179.57871727645397,142.72186920046806,235.0457203388214,180,143,235,True,0
67,30,MAGENTA handle,30,1,1,-4,-8.0,64.98823199019498,-1.14292547643406,-44.41300317248697,0.0,25.747315636789907,-45.457538179388486,64.98823199019498,24.604390160355848,-89.87054135187546,0.1743152653728145,0.1283756535686462,0.3434391418523937,183.65575410425663,139.8246481642127,229.57257002592087,184,140,230,True,0
68,31,"between MAGENTA and RED, step 1 of 5",31,1,1,-4,-8.0,64.98823199019498,-1.14292547643406,-44.41300317248697,0.0,31.865350191240974,-39.06594328619278,64.98823199019498,30.722424714806916,-83.47894645867974,0.17636731569372796,0.1283756535686462,0.3217977945558512,186.44247516989708,137.86762302741408,222.85184785723686,186,138,223,True,0
69,32,"between MAGENTA and RED, step 2 of 5",32,1,1,-4,-8.0,64.98823199019498,-1.14292547643406,-44.41300317248697,0.0,36.844534822680856,-31.75221971371464,64.98823199019498,35.7016093462468,-76.1652228862016,0.17682290561831707,0.1283756535686462,0.29867465052924475,188.0420297384262,136.87183326110244,215.15884906053543,188,137,215,True,0
70,33,"between MAGENTA and RED, step 3 of 5",33,1,1,-4,-8.0,64.98823199019498,-1.14292547643406,-44.41300317248697,0.0,40.67058549746032,-23.77449019192862,64.98823199019498,39.527660021026264,-68.18749336441559,0.17590688060351742,0.1283756535686462,0.27507200750387273,188.5824405401945,136.75216438248754,206.7495582997799,189,137,207,True,0
71,34,"between MAGENTA and RED, step 4 of 5",34,1,1,-4,-8.0,64.98823199019498,-1.14292547643406,-44.41300317248697,0.0,43.35023105478317,-15.342270331419808,64.98823199019498,42.207305578349114,-59.75527350390678,0.17383263969263718,0.1283756535686462,0.25170609929993,188.21160703897476,137.3660945892334,197.8743289411068,188,137,198,True,0
72,35,"between MAGENTA and RED, step 5 of 5",35,1,1,-4,-8.0,64.98823199019498,-1.14292547643406,-44.41300317248697,0.0,44.893355933513675,-6.630118031468575,64.98823199019498,43.75043045707962,-51.04312120395554,0.17078486834068385,0.1283756535686462,0.22908129814225997,187.0823722332716,138.5513687878847,188.80440182983875,187,139,189,True,0
73,0,RED handle,0,2,2,-3,-6.0,66.98823199019498,-1.14292547643406,-44.41300317248697,0.0,45.30400801666679,2.2081055997562062,66.98823199019498,44.161082540232734,-42.20489757273076,0.1778268491988484,0.13812314228603076,0.2205050934281541,190.5190446227789,145.8280524238944,185.47501668334007,191,146,185,True,0
74,1,"between RED and YELLOW, step 1 of 5",1,2,2,-3,-6.0,66.98823199019498,-1.14292547643406,-44.41300317248697,0.0,44.57649568487194,11.025903391501387,66.98823199019498,43.43357020843788,-33.38709978098558,0.17311385663395282,0.13812314228603076,0.19959844256750595,188.15100029110909,147.48561657965183,176.63563840091228,188,147,177,True,0
75,2,"between RED and YELLOW, step 2 of 5",2,2,2,-3,-6.0,66.98823199019498,-1.14292547643406,-44.41300317248697,0.0,42.694740102813135,19.671239013587495,66.98823199019498,41.55181462637908,-24.74176415889947,0.16776757874517734,0.13812314228603076,0.1803310299849511,185.34205801784992,149.30953960865736,168.47458451986313,185,149,168,True,0
76,3,"between RED and YELLOW, step 3 of 5",3,2,2,-3,-6.0,66.98823199019498,-1.14292547643406,-44.41300317248697,0.0,39.63477568334325,27.97301291083334,66.98823199019498,38.49185020690919,-16.439990261653627,0.16187325324050642,0.13812314228603076,0.1629442914962217,182.1743769943714,151.22194278985262,161.27693854272366,182,151,161,True,0
77,4,"between RED and YELLOW, step 4 of 5",4,2,2,-3,-6.0,66.98823199019498,-1.14292547643406,-44.41300317248697,0.0,35.372040056783476,35.726200453279866,66.98823199019498,34.22911458034942,-8.686802719207101,0.15550934460570442,0.13812314228603076,0.14770860903255192,178.6966174095869,153.17108049988747,155.18310863524675,179,153,155,True,0
