output_id,base_color_id,description,target_order,level_rank,level_index,offset_steps,offset_L,grey_L,grey_u,grey_v,delta_L,delta_U,delta_V,target_L,target_u,target_v,target_X,target_Y,target_Z,pred_r_float,pred_g_float,pred_b_float,pred_r_int,pred_g_int,pred_b_int,in_gamut,out_of_gamut_channels
92,19,"between CYAN and BLUE, step 1 of 5",19,2,2,-3,-6.0,64.0,12.406933120096937,-8.907369814500072,0.0,-44.57649568487186,-11.02590339150186,64.0,-32.16956256477492,-19.93327320600193,0.09554655472063528,0.12373337923409793,0.17160309593204806,118.99410892277956,161.98916092514992,163.40152613818645,119,162,163,True,0
93,20,"between CYAN and BLUE, step 2 of 5",20,2,2,-3,-6.0,64.0,12.406933120096937,-8.907369814500072,0.0,-42.69474010281299,-19.671239013587964,64.0,-30.287806982716056,-28.578608828088036,0.09922462830691937,0.12373337923409793,0.1897426777952197,122.10004515945911,161.54114216566086,170.86890824139118,122,162,171,True,0
94,21,"between CYAN and BLUE, step 3 of 5",21,2,2,-3,-6.0,64.0,12.406933120096937,-8.907369814500072,0.0,-39.63477568334308,-27.973012910833727,64.0,-27.227842563246142,-36.8803827253338,0.10389584926081366,0.12373337923409793,0.2076601807609872,127.1257956046611,160.76989755034447,178.38968127965927,127,161,178,True,0
95,22,"between CYAN and BLUE, step 4 of 5",22,2,2,-3,-6.0,64.0,12.406933120096937,-8.907369814500072,0.0,-35.37204005678323,-35.72620045328024,64.0,-22.96510693668629,-44.633570267780314,0.10957245744789099,0.12373337923409793,0.2247876703723572,133.75810506753623,159.61012378335,185.55060222744942,134,160,186,True,0
96,23,"between CYAN and BLUE, step 5 of 5",23,2,2,-3,-6.0,64.0,12.406933120096937,-8.907369814500072,0.0,-29.897177811346825,-42.67664759608496,64.0,-17.490244691249888,-51.584017410585034,0.11621695564357497,0.12373337923409793,0.2403520580551917,141.4576760865748,157.9823424294591,191.9328537583351,141,158,192,True,0
97,24,BLUE handle,24,2,2,-3,-6.0,64.0,12.406933120096937,-8.907369814500072,0.0,-23.245838369923167,-48.511244044914314,64.0,-10.83890524982623,-57.418613859414386,0.12369770641041276,0.12373337923409793,0.2533476003087126,149.53698210418224,155.8131604269147,197.1331027150154,150,156,197,True,0
98,25,"between BLUE and MAGENTA, step 1 of 5",25,2,2,-3,-6.0,64.0,12.406933120096937,-8.907369814500072,0.0,-15.545390198816976,-52.86852875587569,64.0,-3.138457078720039,-61.77589857037576,0.13173437166603247,0.12373337923409793,0.2625891756115063,157.32391756027937,153.0764275789261,200.7720610499382,157,153,201,True,0
99,26,"between BLUE and MAGENTA, step 2 of 5",26,2,2,-3,-6.0,64.0,12.406933120096937,-8.907369814500072,0.0,-7.065500398229713,-55.39326657530841,64.0,5.341432721867224,-64.30063638980849,0.13986429457864918,0.12373337923409793,0.266929747002081,164.34096112847328,149.84974522143602,202.52838760614395,164,150,203,True,0
100,27,"between BLUE and MAGENTA, step 3 of 5",27,2,2,-3,-6.0,64.0,12.406933120096937,-8.907369814500072,0.0,1.770882353784213,-55.84178853554697,64.0,14.17781547388115,-64.74915835004704,0.14748954600650688,0.12373337923409793,0.26565178870065287,170.36961123347282,146.3544324785471,202.2085815668106,170,146,202,True,0
101,28,"between BLUE and MAGENTA, step 4 of 5",28,2,2,-3,-6.0,64.0,12.406933120096937,-8.907369814500072,0.0,10.461969785025188,-54.184130142156,64.0,22.868902905122127,-63.09149995665607,0.1540311701106101,0.12373337923409793,0.2588174784337902,175.36045342683792,142.92540527880192,199.8152419924736,175,143,200,True,0
102,29,"between BLUE and MAGENTA, step 5 of 5",29,2,2,-3,-6.0,64.0,12.406933120096937,-8.907369814500072,0.0,18.557434321905244,-50.613936027213754,64.0,30.96436744200218,-59.521305841713826,0.15910106235934016,0.12373337923409793,0.24726034085442852,179.31382969021797,139.9090986326337,195.5510652065277,179,140,196,True,0
103,30,MAGENTA handle,30,2,2,-3,-6.0,64.0,12.406933120096937,-8.907369814500072,0.0,25.747315636789907,-45.457538179388486,64.0,38.154248756886844,-54.36490799388856,0.16256287785272477,0.12373337923409793,0.23221979204725468,182.24540278315544,137.55818093195558,189.75967817008495,182,138,190,True,0
104,31,"between MAGENTA and RED, step 1 of 5",31,2,2,-3,-6.0,64.0,12.406933120096937,-8.907369814500072,0.0,31.865350191240974,-39.06594328619278,64.0,44.272283311337915,-47.97331310069285,0.16447364918645818,0.12373337923409793,0.21494158840430663,184.2066029459238,135.9891453757882,182.86077216267586,184,136,183,True,0
105,32,"between MAGENTA and RED, step 2 of 5",32,2,2,-3,-6.0,64.0,12.406933120096937,-8.907369814500072,0.0,36.844534822680856,-31.75221971371464,64.0,49.25146794277779,-40.65958952821471,0.164990055126821,0.12373337923409793,0.1964625865741223,185.29407419264317,135.1991905644536,175.3152358531952,185,135,175,True,0
106,33,"between MAGENTA and RED, step 3 of 5",33,2,2,-3,-6.0,64.0,12.406933120096937,-8.907369814500072,0.0,40.67058549746032,-23.77449019192862,64.0,53.07751861755726,-32.68186000642869,0.16429822790504314,0.12373337923409793,0.17756566325194534,185.63447892665863,135.10741598904133,167.60361425578594,186,135,168,True,0
107,34,"between MAGENTA and RED, step 4 of 5",34,2,2,-3,-6.0,64.0,12.406933120096937,-8.907369814500072,0.0,43.35023105478317,-15.342270331419808,64.0,55.75716417488011,-24.24964014591988,0.16257642013267223,0.12373337923409793,0.1588157836317529,185.35949148237705,135.59430476278067,160.16284212470055,185,136,160,True,0
