r,g,b,X,Y,Z,L,u,v,pred_invalid_xyz
216.75,153.0,191.25,0.2209671437740326,0.1693868488073349,0.23231299221515656,72.82889477551578,58.62768466651317,-32.86120895125995,False
216.75,153.0,204.0,0.22393976151943207,0.16920751333236694,0.26655465364456177,72.79753500665817,54.767516352787155,-45.33954338120865,False
216.75,153.0,216.75,0.2271493375301361,0.16918501257896423,0.3015407919883728,72.79359881421115,51.08179892273964,-57.27894813163833,False
216.75,153.0,229.5,0.23052482306957245,0.1693139523267746,0.3366307020187378,72.81615029355325,47.62232329788774,-68.49637396304409,False
216.75,153.0,242.25,0.23399609327316284,0.16958484053611755,0.37122413516044617,72.86349120087459,44.42360320790558,-78.87004472583219,False
216.75,153.0,255.0,0.23749864101409912,0.169985830783844,0.40479350090026855,72.93347651429916,41.5041879415968,-88.33380017481664,False
229.5,140.25,0.0,0.23146818578243256,0.17255933582782745,0.0,73.38003406675912,128.51008046373792,71.80721458860724,True
229.5,140.25,12.75,0.23091083765029907,0.172383651137352,0.0026907676365226507,73.34969081198557,127.16351206692626,70.33655695621786,False
229.5,140.25,25.5,0.23029766976833344,0.17209148406982422,0.006216123700141907,73.29918370365868,125.63587854083164,68.37095605259091,False
229.5,140.25,38.25,0.22965581715106964,0.1716821789741516,0.01053280383348465,73.22833063967498,123.97895403540885,65.9356346129776,False
229.5,140.25,51.0,0.2290230393409729,0.1711609959602356,0.01594223454594612,73.13794768427202,122.1377900083318,62.86993330002059,False
229.5,140.25,63.75,0.22844718396663666,0.17053934931755066,0.022789988666772842,73.02990218392625,120.05144642829885,58.99969964835384,False
229.5,140.25,76.5,0.2279854565858841,0.16983477771282196,0.03145156800746918,72.90712597320073,117.65886617267465,54.15110035178831,False
229.5,140.25,89.25,0.22770054638385773,0.1690710335969925,0.04231014847755432,72.77365442034653,114.90374447322324,48.17066628664127,False
229.5,140.25,102.0,0.22765812277793884,0.16827690601348877,0.05572614446282387,72.63444612236789,111.74526044521215,40.948698902041976,False
229.5,140.25,114.75,0.22791987657546997,0.16748394072055817,0.07200216501951218,72.49500387778951,108.16523037918931,32.44253012091736,False
242.25,127.5,0.0,0.25004035234451294,0.16841159760951996,0.0,72.65808797060129,157.3966046762664,66.57811289381753,True
242.25,127.5,12.75,0.24948036670684814,0.1684103012084961,0.0020443988032639027,72.65786047888344,155.95616199875528,65.54437706509825,False
242.25,127.5,25.5,0.24886134266853333,0.1682904064655304,0.005550996400415897,72.63681636856633,154.08912545431724,63.665940456750214,False
242.25,127.5,38.25,0.24821066856384277,0.16805152595043182,0.009851731359958649,72.5948578774367,152.079420759223,61.317181121534006,False
242.25,127.5,51.0,0.2475661039352417,0.167698472738266,0.015248693525791168,72.53277249684669,149.8629964878333,58.338278146281326,False
