r,g,b,X,Y,Z,L,u,v,pred_invalid_xyz
89.25,178.5,216.75,0.11142118275165558,0.1530219167470932,0.3155784606933594,69.87081303835473,-55.15616235839597,-58.85759724433717,False
89.25,178.5,229.5,0.11637425422668457,0.1535990685224533,0.3513203263282776,69.97863705573897,-54.25859904931232,-70.58208094989493,False
89.25,178.5,242.25,0.12137950956821442,0.15430781245231628,0.3864079713821411,70.11067637812414,-53.39187731638511,-81.29331741466451,False
102.0,178.5,140.25,0.09282732009887695,0.15477095544338226,0.12195351719856262,70.19674184583158,-54.8199005342992,23.303930214930798,False
102.0,178.5,153.0,0.09592989087104797,0.15442194044589996,0.14849381148815155,70.1319006585164,-54.11156088480437,9.89460176114681,False
102.0,178.5,165.75,0.09945516288280487,0.15420682728290558,0.17791979014873505,70.09188752836751,-53.39795737649355,-4.032079439958768,False
102.0,178.5,178.5,0.10337252914905548,0.15414026379585266,0.20980487763881683,70.07949853739264,-52.6825010281165,-18.103492240149244,False
102.0,178.5,191.25,0.10763281583786011,0.15422986447811127,0.24360081553459167,70.09617444808055,-51.96883392249393,-31.96774499871567,False
102.0,178.5,204.0,0.11217232048511505,0.15447714924812317,0.27867868542671204,70.14216403704712,-51.26099514671292,-45.3232037600375,False
102.0,178.5,216.75,0.11691896617412567,0.15487825870513916,0.3143753111362457,70.21665741472285,-50.56198734312425,-57.93580956287188,False
153.0,165.75,0.0,0.1191977709531784,0.15472687780857086,0.0041595040820539,70.1885583352783,0.7105697581439336,84.23020503677297,False
153.0,165.75,12.75,0.11938904225826263,0.1545187085866928,0.006852905265986919,70.14988835178566,0.6226511197604139,82.40384798329383,False
153.0,165.75,25.5,0.11954081058502197,0.15420417487621307,0.010116562247276306,70.09139392288125,0.47113967207828655,80.19413950725637,False
153.0,165.75,38.25,0.11968284845352173,0.15378442406654358,0.014217590913176537,70.01320803545354,0.24000172077108634,77.4349022434668,False
153.0,165.75,51.0,0.11985607445240021,0.15326619148254395,0.019475193694233894,69.91648169993724,-0.08748131130892456,73.93583955001515,False
153.0,165.75,63.75,0.1201111376285553,0.15266254544258118,0.026252105832099915,69.80353793569532,-0.5290117579995115,69.49446224012205,False
165.75,165.75,153.0,0.1443149596452713,0.15478980541229248,0.1441301852464676,70.20024108107377,5.046087411498738,4.6975132539447575,False
165.75,165.75,165.75,0.14697302877902985,0.15436215698719025,0.17298252880573273,70.12078408713624,3.249313825388602,-8.652430696419454,False
165.75,165.75,178.5,0.15003763139247894,0.1540842056274414,0.2043081820011139,70.06906206002668,1.4527963614826376,-22.2102784339728,False
165.75,165.75,191.25,0.15346495807170868,0.15396587550640106,0.23758506774902344,70.04702395710214,-0.2974278015420072,-35.6352222778027,False
