id,n_rows,r_target_mean,g_target_mean,b_target_mean,r_pred_mean,g_pred_mean,b_pred_mean,mae_rgb_mean
27,3,169.0,250.0,218.0,169.2415315657854,248.2172018289566,218.4437119960785,0.7777777777777777
28,3,198.0,44.0,96.0,195.3041772544384,36.79369166493416,96.8778409063816,3.6666666666666665
29,3,81.0,133.0,182.0,74.33644346892834,137.69750805571675,181.13669954240322,4.222222222222222
30,3,104.0,4.0,223.0,102.31159683316946,29.168151915073395,225.0270664691925,9.666666666666666
31,3,254.0,169.0,55.0,250.52448108792305,166.6593560576439,45.18556922674179,5.222222222222222
32,3,144.0,125.0,140.0,149.0801452845335,130.0852050539106,143.00420070067048,4.333333333333333
33,3,7.0,212.0,90.0,25.14826402068138,212.5691132247448,87.90586747229099,7.0
34,3,2.0,11.0,40.0,13.792208582162857,16.034187078475952,28.163311034440994,9.666666666666666
35,3,151.0,162.0,254.0,155.54102662950754,164.897251278162,251.52692049741745,3.3333333333333335
36,3,249.0,117.0,69.0,247.45928183197975,112.34902612864971,57.624173909425735,5.888888888888889
37,3,112.0,219.0,146.0,111.94911247119308,218.02009046077728,147.33503066003323,0.6666666666666666
38,3,86.0,90.0,196.0,79.92886938154697,84.6997021138668,196.63858711719513,4.111111111111111
39,3,192.0,243.0,19.0,188.907939940691,243.83318454027176,27.216731160879135,4.0
40,3,173.0,37.0,168.0,170.9147261828184,34.70990628004074,164.57126550376415,2.4444444444444446
41,3,56.0,141.0,126.0,48.86114999651909,145.31283553689718,130.72997416835278,5.333333333333333
42,3,46.0,101.0,189.0,39.80510354042053,98.67400832474232,188.5209471732378,2.888888888888889
43,3,183.0,204.0,105.0,181.43239967525005,201.9557811319828,106.16469141095877,1.5555555555555556
44,3,213.0,28.0,210.0,211.61163553595543,33.22866976261139,211.13515630364418,2.3333333333333335
45,3,64.0,178.0,4.0,55.412393659353256,176.46386355161667,19.239543080329895,8.555555555555555
46,3,121.0,52.0,82.0,124.02589273173362,42.18119204044342,78.52138184010983,5.444444444444444
47,3,239.0,157.0,132.0,239.89176243543625,161.18184611201286,136.1086394637823,3.0
48,3,129.0,74.0,62.0,132.88647807203233,65.03622591495514,52.899330109357834,7.333333333333333
49,3,24.0,226.0,232.0,25.893958806991577,226.64497151970863,234.78788644075394,2.0
50,3,26.0,68.0,102.0,22.786386758089066,57.0256806910038,104.01437222957611,5.333333333333333
51,3,140.0,236.0,176.0,143.72587475925684,235.38980454206467,172.7137941122055,2.6666666666666665
52,3,225.0,58.0,10.0,227.10913181304932,44.39201980829239,21.70398697257042,9.333333333333334
53,3,116.0,147.0,220.0,117.17430423945189,151.53399724513292,223.12897711992264,2.888888888888889
54,3,77.0,22.0,138.0,66.17243967950344,24.429271668195724,139.40512724220753,4.555555555555556
55,3,219.0,188.0,92.0,219.16611149907112,187.78763845562935,91.50741934776306,0.1111111111111111
56,3,181.0,107.0,229.0,180.79714342951775,102.18105040490627,230.91974720358849,2.3333333333333335
57,3,36.0,194.0,49.0,32.46492341160774,191.19952604174614,39.55567479133606,5.333333333333333
58,3,54.0,43.0,240.0,43.00907641649246,38.091534823179245,239.1596481204033,5.777777777777779
59,3,163.0,131.0,38.0,163.55773828923702,136.773199737072,32.082575261592865,4.333333333333333
60,3,205.0,84.0,156.0,200.61200603842735,77.96041667461395,155.2066008746624,3.6666666666666665
61,3,91.0,253.0,74.0,82.51888260245323,250.0728753209114,63.72990794479847,7.111111111111111
62,3,98.0,123.0,29.0,96.8273739144206,127.07457981538028,25.34551650285721,3.0
63,3,243.0,209.0,201.0,246.42323195934296,208.403472751379,202.31492012739182,1.6666666666666667
64,3,154.0,5.0,112.0,156.95218604058027,23.800608068704605,116.29204604774714,8.666666666666666
65,3,12.0,172.0,166.0,30.818697214126587,172.55409121513367,163.61058205366135,7.333333333333333
66,3,15.0,39.0,122.0,19.012016355991364,30.583905279636383,125.46147972578183,5.111111111111111
