id,n_rows,X_target_mean,Y_target_mean,Z_target_mean,X_pred_mean,Y_pred_mean,Z_pred_mean,mae_xyz_mean
72,3,0.1384045534377383,0.0652780491643818,0.4186252484290291,0.13653789460659027,0.05770685523748398,0.40835022926330566,0.006570957307923085
73,3,0.04903869453334703,0.11434414307693586,0.015003234900016331,0.04995949938893318,0.11748196929693222,0.016789602115750313,0.0019483327637721717
74,3,0.069549470041036,0.040691931411436476,0.38689347266299223,0.06694991886615753,0.03796280175447464,0.38269782066345215,0.0031747776104601327
75,3,0.19454449191432563,0.28825247876847776,0.026870611637193568,0.19912630319595337,0.2901260256767273,0.026790600270032883,0.00220460467391125
76,3,0.19105375840817018,0.09950098018206298,0.08914630914214454,0.19220978021621704,0.10086516290903091,0.0907917469739914,0.0013885474556205484
77,3,0.06014408840251345,0.11546996327296254,0.04484627836537008,0.06042486056685448,0.11683931946754456,0.0442352294921875,0.0007537257440352107
78,3,0.044182440827202414,0.023038578482721492,9.145249937154705e-05,0.04226258769631386,0.020724181085824966,0.002187478356063366,0.0021100921281589674
79,3,0.2530495505972202,0.20939782468092172,0.2937513258724877,0.24911484122276306,0.20812194049358368,0.2912381589412689,0.002574586831004647
80,3,0.08556901582387422,0.06985886643942384,0.06421436746729146,0.08542890846729279,0.06799239665269852,0.0649821013212204,0.000924770332411895
81,3,0.10512307569514588,0.20155122478309476,0.22682198734447154,0.10477316379547119,0.20476505160331726,0.232349693775177,0.0030304817168675495
82,3,0.018377244425682112,0.042211326635328006,0.015580751495297937,0.018508201465010643,0.0394064225256443,0.01531657762825489,0.0010666783386850947
83,3,0.14466394150551798,0.18240197916692555,0.34186347303198134,0.14578676223754883,0.18636299669742584,0.33614638447761536,0.003600308938965695
84,3,0.23031929467041637,0.11485151039667098,0.037396987879954324,0.22592811286449432,0.11259346455335617,0.03460109978914261,0.0031483719133495306
85,3,0.11258300521655157,0.17955860709701485,0.12211558780823889,0.11381867527961731,0.18201515078544617,0.12480911612510681,0.002128580689454995
86,3,0.0630259118704836,0.034111538382852115,0.31784015222423867,0.06219226494431496,0.03336773067712784,0.3213934600353241,0.0017102541476594468
87,3,0.19703824652432153,0.1615309033595038,0.005162168373994786,0.20156043767929077,0.1636127233505249,0.003938042093068361,0.002609379142305595
88,3,0.151497004356594,0.08266130724790027,0.20393449910390923,0.15452800691127777,0.08362201601266861,0.20948240160942078,0.0031798712749878835
89,3,0.11581192129381314,0.2899699414516559,0.06203382500228242,0.1146424263715744,0.2852671444416046,0.06100430712103844,0.002300603271178006
90,3,0.03507355621141264,0.016134363950212383,0.1674746090880482,0.032522596418857574,0.013498466461896896,0.17453449964523315,0.00408224927935184
91,3,0.15160269257386774,0.1738871473978504,0.07609447651147158,0.1534138321876526,0.17533063888549805,0.07742534577846527,0.0015285001228087204
92,3,0.17839010755872206,0.11975733332640076,0.27636830908117554,0.17964684963226318,0.11876802891492844,0.2770465612411499,0.0009747662149959457
93,3,0.09243148902498399,0.21230193162137842,0.013457161001258775,0.09293708205223083,0.2193707823753357,0.014245191588997841,0.002787491456314395
94,3,0.04652321920835398,0.04249221167160012,0.032303377228828416,0.044969331473112106,0.04006260633468628,0.032877855002880096,0.0015193236154024629
95,3,0.3417651642778574,0.4083118010834325,0.13463728185559407,0.3282100260257721,0.38989487290382385,0.1376282125711441,0.01165433238241468
96,3,0.075093297477862,0.040447873708813975,0.005380210156384215,0.07868577539920807,0.041676126420497894,0.007298941258341074,0.0022464872449956146
97,3,0.08667338530245232,0.08233172037555091,0.4069515504949856,0.07835669815540314,0.0737006813287735,0.39802733063697815,0.008623982017278018
98,3,0.029113559210010454,0.038171083388537634,0.10789913794378074,0.027995776385068893,0.032761961221694946,0.1090390533208847,0.002555606789629404
99,3,0.1742885003707755,0.3312760897575861,0.04536766312320297,0.1723196804523468,0.3198689818382263,0.04574444890022278,0.004584237871602773
100,3,0.2794938991962964,0.13700642175715058,0.3516145150014521,0.2784809172153473,0.13316166400909424,0.35343343019485474,0.0022255516408027118
101,3,0.06147315336226747,0.0897424693035422,0.020912770287303057,0.06062475964426994,0.08840714395046234,0.02315843477845192,0.0014764611874087455
102,3,0.027837191796601834,0.013702109556213829,0.06251526475202929,0.024718213826417923,0.013439977541565895,0.06059793010354042,0.001766148211106904
103,3,0.19310925151526892,0.17235560985165801,0.22343954838501343,0.1930122673511505,0.17119643092155457,0.2255183458328247,0.0011116535140110555
104,3,0.11456173515009456,0.09284656636178439,0.0026228504132839205,0.11871424317359924,0.09097521752119064,0.0029124715365469456,0.0021044926624538187
105,3,0.12498586462176671,0.223060029986448,0.2854757754635316,0.12594422698020935,0.22766850888729095,0.2886349558830261,0.002908673892926696
106,3,0.00675343507965048,0.008861210670072958,0.0013444107124477083,0.004835997708141804,0.007798435632139444,0.005322870332747698,0.002319557343247394
107,3,0.17711572795057298,0.1499407799071211,0.2531073080711474,0.17727339267730713,0.14799973368644714,0.2538740038871765,0.000955135587812418
108,3,0.18092261801297047,0.1020054100988297,0.08478838698420303,0.18271604180335999,0.10328279435634613,0.08673063665628433,0.0016710192399957615
109,3,0.12752941928693576,0.26514230211541395,0.18222182188979383,0.12759140133857727,0.2635459899902344,0.18773657083511353,0.0024109960495272975
110,3,0.11283283275552991,0.07102505934352125,0.4254894195339945,0.11265435814857483,0.07086098194122314,0.41309645771980286,0.004259665650098364
111,3,0.2711604425945216,0.2703222348743591,0.015684026984092308,0.2690824866294861,0.2765040695667267,0.015360474586486816,0.0028611143516695317
112,3,0.07261429543082547,0.0364924984257682,0.12444956298820453,0.0719706118106842,0.036294594407081604,0.12710341811180115,0.0011651475874748273
113,3,0.06034517523953076,0.153348463700904,0.031345490626822035,0.06312879920005798,0.15960970520973206,0.029513239860534668,0.003625705411880885
114,3,0.046330721026097414,0.02113293359489639,0.27219168659703635,0.04503282904624939,0.018357839435338974,0.2820092439651489,0.0046301811691726825
115,3,0.1093519062620264,0.17578568934119643,0.011511731463339253,0.1118982583284378,0.181290403008461,0.013246698305010796,0.0032620108584491686
116,3,0.23049831149182295,0.14109295542407405,0.15950521935033904,0.2248346358537674,0.13814765214920044,0.16451075673103333,0.004538172097874487
117,3,0.10610163607961769,0.19409643718405212,0.07654714706805464,0.10796801745891571,0.1980757862329483,0.07834257930517197,0.0025470542217705147
118,3,0.019191184606883818,0.019537189001588018,0.0067045818359691865,0.01699036918580532,0.01795247569680214,0.010335590690374374,0.002472179193423187
119,3,0.28604376759218525,0.31428652770980353,0.3621303887196059,0.28493815660476685,0.31212905049324036,0.3602338135242462,0.001719887799780415
120,3,0.11727313593781648,0.06615610324277225,0.025250609558769493,0.12348641455173492,0.06921973824501038,0.02529844269156456,0.0031104525445239065
121,3,0.06049312062492398,0.09981206563206757,0.15746035709080553,0.06083518639206886,0.09827478229999542,0.16164962947368622,0.002022873827365908
122,3,0.0359921081940232,0.06704251022015895,0.05015311633221258,0.03621108457446098,0.06598188728094101,0.0491330549120903,0.0007665535799259976
123,3,0.1731939110812953,0.25035132916614605,0.10989148148327761,0.17425449192523956,0.2503451704978943,0.11178784817457199,0.0009926022973161376
124,3,0.1575709886088291,0.07816796753375692,0.011280066084811248,0.16330014169216156,0.0771164521574974,0.007711344864219427,0.003449796560061264
125,3,0.11200825732697124,0.13402931277302785,0.35273072598988603,0.11182095110416412,0.13612832129001617,0.3473460376262665,0.002557001034471663
126,3,0.060721605367425296,0.03211404293867644,0.20509392630859813,0.05965128913521767,0.03181465342640877,0.21350042521953583,0.003258734885137662
127,3,0.2519746876461236,0.1738711075357893,0.05094499491427034,0.2425580620765686,0.17059236764907837,0.05307377502322197,0.004941381855072519
128,3,0.12890070279080304,0.07343297474469708,0.32932565348366816,0.129535511136055,0.0728360265493393,0.3269156813621521,0.001213909554041924
