rep,id,r,g,b,X,Y,Z,source_file,valid_rgb,valid_xyz
0,33,7,212,90,0.08758222872892708,0.2226993846092892,0.05205629325210938,color_battery_amoled_B.csv,True,True
0,34,2,11,40,0.001384835706677554,0.0008929154948341375,0.007583578485914553,color_battery_amoled_B.csv,True,True
0,35,151,162,254,0.15639897148157447,0.14255762110101444,0.42445079397953445,color_battery_amoled_B.csv,True,True
0,36,249,117,69,0.26859747741933576,0.16748184900942825,0.02219540863108821,color_battery_amoled_B.csv,True,True
0,37,112,219,146,0.1294305993558299,0.24212943310234353,0.13122130327067444,color_battery_amoled_B.csv,True,True
0,38,86,90,196,0.0666718168862391,0.04924920569432085,0.25651359688160474,color_battery_amoled_B.csv,True,True
0,39,192,243,19,0.2256996255317166,0.34804865513488886,0.017376427652970608,color_battery_amoled_B.csv,True,True
0,40,173,37,168,0.12618626763004503,0.06325959855114753,0.17549847376548589,color_battery_amoled_B.csv,True,True
0,41,56,141,126,0.049977493334454504,0.0866351392398154,0.09367623556913855,color_battery_amoled_B.csv,True,True
0,42,46,101,189,0.05401407216659097,0.04977855574231567,0.2367791354590437,color_battery_amoled_B.csv,True,True
0,43,183,204,105,0.18320072354306846,0.23816463931019383,0.06361428174938379,color_battery_amoled_B.csv,True,True
0,44,213,28,210,0.20167174672424856,0.09856389364794002,0.2885141681768041,color_battery_amoled_B.csv,True,True
0,45,64,178,4,0.06245254811233021,0.14869385942175267,0.008229849185267035,color_battery_amoled_B.csv,True,True
0,46,121,52,82,0.051528286024270877,0.031275957336515885,0.035504860016071435,color_battery_amoled_B.csv,True,True
0,47,239,157,132,0.2623976741449034,0.20048754672927666,0.09560257197086423,color_battery_amoled_B.csv,True,True
0,48,129,74,62,0.05956198718731325,0.04278288520390085,0.01943551839803901,color_battery_amoled_B.csv,True,True
0,49,24,226,232,0.13966360245239517,0.24599261089565774,0.36132006684425805,color_battery_amoled_B.csv,True,True
0,50,26,68,102,0.016103756089149535,0.01899470443050188,0.058242264814887874,color_battery_amoled_B.csv,True,True
0,51,140,236,176,0.17170183930618046,0.29088610660844233,0.19584259548059066,color_battery_amoled_B.csv,True,True
0,52,225,58,10,0.20506537356999327,0.10849491409684746,0.0006220115783736253,color_battery_amoled_B.csv,True,True
0,53,116,147,220,0.10988021997869744,0.10963327951023832,0.3279424545390846,color_battery_amoled_B.csv,True,True
0,54,77,22,138,0.033480361060669483,0.016327938016246338,0.11452318437318573,color_battery_amoled_B.csv,True,True
0,55,219,188,92,0.23301918765661905,0.23272819991740468,0.0473365177077905,color_battery_amoled_B.csv,True,True
0,56,181,107,229,0.16360961011593553,0.10158452125181362,0.3508432355184935,color_battery_amoled_B.csv,True,True
0,57,36,194,49,0.06891105639796626,0.17795646958920322,0.02042870060842577,color_battery_amoled_B.csv,True,True
0,58,54,43,240,0.07164577693642352,0.03471577101526175,0.40061930993116585,color_battery_amoled_B.csv,True,True
0,59,163,131,38,0.11270194045859355,0.10730042338314917,0.009323367319490935,color_battery_amoled_B.csv,True,True
0,60,205,84,156,0.1775942310877429,0.10205026373997775,0.14478288490799113,color_battery_amoled_B.csv,True,True
0,61,91,253,74,0.1423577705322858,0.33901198330089455,0.041584296136382905,color_battery_amoled_B.csv,True,True
0,62,98,123,29,0.04772487872925981,0.0699942096424165,0.006446125592869569,color_battery_amoled_B.csv,True,True
0,63,243,209,201,0.3010126189394728,0.2837270150521593,0.2518381969111438,color_battery_amoled_B.csv,True,True
0,64,154,5,112,0.08992164500906025,0.044199587163428075,0.06894292118419232,color_battery_amoled_B.csv,True,True
0,65,12,172,166,0.07413801848868279,0.13547908193579233,0.17664135938511785,color_battery_amoled_B.csv,True,True
0,66,15,39,122,0.01615295626449922,0.010428166737682067,0.08660600736734522,color_battery_amoled_B.csv,True,True
0,67,153,143,171,0.12395710574312654,0.11786823787753486,0.18322355698448942,color_battery_amoled_B.csv,True,True
0,68,246,88,22,0.25630411907753636,0.1450957028637495,0.0025736701301935032,color_battery_amoled_B.csv,True,True
0,69,97,241,192,0.15327528109245694,0.2918056722513433,0.23943269367429604,color_battery_amoled_B.csv,True,True
0,70,88,119,150,0.05875512424157364,0.06687036264566577,0.13878184392571405,color_battery_amoled_B.csv,True,True
0,71,206,221,64,0.2300706348300402,0.29565783732740963,0.029133546783649565,color_battery_amoled_B.csv,True,True
0,72,160,9,249,0.13844917566253886,0.06521282257476578,0.41936608208041304,color_battery_amoled_B.csv,True,True
0,73,55,160,45,0.049028051359187266,0.11435851948931956,0.015153699587682657,color_battery_amoled_B.csv,True,True
0,74,32,72,236,0.06943535185048008,0.04065846950978841,0.38701610336267656,color_battery_amoled_B.csv,True,True
0,75,182,224,58,0.19452226383258345,0.28820465075466367,0.02714830106855868,color_battery_amoled_B.csv,True,True
0,76,216,54,128,0.19114745400445204,0.0996036060451823,0.08920239156760802,color_battery_amoled_B.csv,True,True
0,77,79,159,87,0.060251417545810634,0.11557066792223883,0.04493750920371363,color_battery_amoled_B.csv,True,True
0,78,119,26,1,0.04422702810660148,0.02306552983734971,9.260596647789075e-05,color_battery_amoled_B.csv,True,True
0,79,225,176,214,0.2532034363878522,0.20945324089825454,0.2941123104762172,color_battery_amoled_B.csv,True,True
0,80,143,103,108,0.08569513916053256,0.069973457672639,0.06424562713980643,color_battery_amoled_B.csv,True,True
0,81,25,206,186,0.10528566704727164,0.20159752767791364,0.2270744682965617,color_battery_amoled_B.csv,True,True
0,82,21,105,52,0.01836635658505662,0.04221658816084833,0.015596172379485981,color_battery_amoled_B.csv,True,True
0,83,130,192,226,0.14491262378148517,0.18253288184816543,0.34217799683165356,color_battery_amoled_B.csv,True,True
0,84,236,24,88,0.23052055226334262,0.1149244916118172,0.037387882959014955,color_battery_amoled_B.csv,True,True
0,85,122,190,142,0.1129107397051183,0.17971544254037145,0.12217552667794766,color_battery_amoled_B.csv,True,True
0,86,67,56,215,0.06319150206762246,0.03400551889705957,0.3183289510850036,color_battery_amoled_B.csv,True,True
0,87,212,145,15,0.1970958357659997,0.16161150596495655,0.005207182843020846,color_battery_amoled_B.csv,True,True
0,88,187,70,180,0.15159256842510077,0.08269210111564439,0.20414321438049607,color_battery_amoled_B.csv,True,True
