path_s,fit_u,fit_v
3.5878258723031626,-1.2613896563611369,55.87394974986731
3.6448392812390913,-1.318310827940706,55.87070798730588
3.701855696557815,-1.3752299177275322,55.867377997270395
3.75887516465649,-1.4321468358386054,55.863959785019354
3.8158977319055336,-1.4890614923943413,55.86045335595058
3.8729234446482317,-1.5459737975187293,55.85685871560122
3.9299523492003345,-1.602883661339471,55.85317586964768
3.986984491849656,-1.659790993988124,55.849404823905694
4.044019918855676,-1.7166957056002414,55.845545584330246
4.101058676449138,-1.7735977063155177,55.841598157015596
4.15810081083165,-1.8304969062779257,55.837562548195294
4.215146368175292,-1.8873932156358628,55.833438764242096
4.272195394622209,-1.9442865445422894,55.829226811668036
4.329247936284221,-2.001176803154875,55.82492669712435
4.386304039242423,-2.058063901636135,55.820538427401516
4.443363749546788,-2.1149477501535756,55.81606200942919
4.500427113215772,-2.171828258879836,55.81149745027626
4.557494176235918,-2.228705337992829,55.80684475715081
4.614564984561464,-2.2855788976758844,55.80210393740005
4.671639584113943,-2.3424488481178853,55.797274998510375
4.728718020781796,-2.3993150995134207,55.79235794810736
4.78580034041997,-2.456177562062915,55.78735279395569
4.8428865888495345,-2.5130361459727806,55.78225954395919
4.899976811857285,-2.5698907614555497,55.77707820616079
4.957071055195351,-2.626741318730027,55.77180878874254
5.014169364580808,-2.683587728021421,55.76645130002556
5.071271785695281,-2.740429899561493,55.76100574847006
5.12837836418456,-2.797267743588695,55.7554721426753
5.185489145658211,-2.8541011703483123,55.74985049137962
5.242604175689183,-2.9109300900926067,55.744140803460354
5.299723499813426,-2.9677544130809586,55.738343087933885
5.356847163529497,-3.024574049580003,55.7324573539556
5.413975212298178,-3.0813889098637817,55.72648361081988
5.471107691542086,-3.1381989042138714,55.720421867960084
5.528244646645295,-3.1950039429195396,55.71427213494851
5.585386122952939,-3.2518039362778755,55.70803442149644
5.642532165770841,-3.3085987945939372,55.70170873745407
5.699682820365114,-3.3653884281808906,55.69529509281054
5.756838131961795,-3.422172747360151,55.68879349769383
5.813998145746451,-3.4789516624615304,55.682203962370885
5.871162906863798,-3.5357250838233694,55.67552649724747
5.928332460417332,-3.5924929217926893,55.66876111286819
5.9855068514689265,-3.649255086725322,55.661907819916536
6.042686125038472,-3.7060114889860625,55.6549666292148
6.099870326103494,-3.7627620389488055,55.64793755172404
6.157059499598766,-3.8195066469966856,55.640820598544146
6.214253690415939,-3.876245223522221,55.63361578091376
6.271452943403164,-3.9329776789274558,55.626323110210265
6.32865730336471,-3.989703923624097,55.6189425979498
6.385866815060601,-4.0464238680336635,55.61147425578717
6.443081523206228,-4.103137422587621,55.603918095515944
6.500301472471978,-4.159844497727523,55.596274129068306
6.557526707482874,-4.2165450039051615,55.58854236851512
6.614757272818178,-4.273238851582695,55.58072282606591
6.671993213011037,-4.329925951232799,55.57281551406879
6.729234572548114,-4.3866062133388075,55.56482044501048
6.786481395869205,-4.443279548394852,55.556737631516306
6.843733727366876,-4.499945866905994,55.548567086350104
6.900991611386098,-4.5566050793883885,55.540308822414296
6.958255092223865,-4.613257096369401,55.531962852749814
7.01552421412885,-4.669901828387767,55.52352919053607
7.072799021301012,-4.72653918599372,55.51500784909098
7.1300795578912535,-4.783169079749143,55.5063988418709
7.187365868001041,-4.839791420227704,55.49770218247061
7.24465799568204,-4.896406118014999,55.48891788462336
7.301955984935766,-4.953013083708692,55.48004596220073
7.3592598797132105,-5.009612227918659,55.47108642921269
7.416569723914471,-5.06620346126712,55.462039299807586
7.473885561388417,-5.122786694388801,55.452904588272055
7.5312074359323,-5.179361837931049,55.44368230903107
7.588535391291416,-5.235928802553991,55.434372476647845
7.645869471158735,-5.292487498930669,55.42497510582389
7.703209719174544,-5.349037837747179,55.41549021139895
7.7605561789261,-5.4055797297028185,55.405917808350935
7.817908893947265,-5.462113085510225,55.396257911796
7.875267907718147,-5.518637815895509,55.38651053698843
7.932633263664759,-5.57515383159841,55.37667569932068
7.9900050051586575,-5.631661043372421,55.36675341432327
8.047383175516588,-5.688159361984944,55.35674369766487
8.104767818000136,-5.74464869821742,55.34664656515217
8.162158975815384,-5.80112896286548,55.336462032729926
8.219556692112539,-5.857600066739072,55.326190116480916
8.276961009985616,-5.9140619206626175,55.31583083262587
8.334371972472061,-5.970514435475146,55.30538419752354
8.391789622552412,-6.026957522030423,55.29485022767057
8.449214003149967,-6.083391091197118,55.28422893970156
8.506645157130418,-6.139815053858917,55.27352035038895
8.56408312730152,-6.196229320914686,55.26272447664307
8.621527956412741,-6.252633803278592,55.25184133551208
8.678979687154923,-6.309028411880265,55.24087094418195
8.73643836215993,-6.365413057664911,55.22981331997641
8.793904024000323,-6.421787651593485,55.21866848035698
8.85137671518901,-6.478152104642806,55.20743644292288
8.908856478178913,-6.53450632780571,55.19611722541101
8.966343355362621,-6.590850232091187,55.18471084569597
9.023837389072057,-6.64718372852452,55.17321732178999
9.081338621578139,-6.7035067281474285,55.16163667184293
9.138847095090462,-6.759819142018209,55.14996891414218
9.19636285175693,-6.816120881211874,55.13821406711276
